"screen_id","screen_name","group_code","group_name","doc_ref","roles","platforms","viewports_px","phase","states","state_count","components","frame_count","flows","acc_criteria","design_file","status","decision_applied","design_status","frame_ref","frames_drawn","frames_required"
"ORG-10","سجل تدقيق","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty permission_denied","4","C-TABLE C-FILTER C-TIMELIST","24","","","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","20-D15-Org-Access-Closure.dc.html#ORG-10","3","5","24"
"REP-01","تقرير المبيعات","REP","التقارير","٧،١٠،١٦","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty stale pending_sync permission_denied","6","C-TABLE C-FILTER C-SYNC","36","","","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","16-D11-System-Reports.dc.html#REP-01","1","6","36"
"REP-02","تقرير الذمم","REP","التقارير","٧،١٠،١٦","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty stale permission_denied","5","C-TABLE C-FILTER C-LEDLINE","30","","ACC-79","07-D3-Admin-Reports-Sync.dc.html","owner_approved","G-15 توقع تقادم الديون","drawn","07-D3-Admin-Reports-Sync.dc.html#REP-02","1","5","30"
"REP-03","تقرير المخزون والحركات","REP","التقارير","٧،١٠،١٦","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty stale pending_sync","5","C-TABLE C-FILTER C-QTYUNIT","30","","","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","19-D14-Sync-Recovery-Reports.dc.html#REP-03","1","5","30"
"REP-04","تقرير الصندوق والورديات","REP","التقارير","٧،١٠،١٦","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty conflict stale","5","C-TABLE C-MONEY C-STATUS","30","","","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","16-D11-System-Reports.dc.html#REP-04","1","5","30"
"REP-05","الهامش والمقارنة بين الفروع","REP","التقارير","٧،١٠،١٦","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","مشروط","ready empty permission_denied phase_locked","4","C-TABLE C-PHASE C-NOTICE","24","","ACC-90","07-D3-Admin-Reports-Sync.dc.html","owner_approved","G-03 عقد التكلفة","drawn","16-D11-System-Reports.dc.html#REP-05","2","4","24"
"REP-06","تصدير تقرير ومعاينته","REP","التقارير","٧،١٠،١٦","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading validation_error success server_error","5","C-DOCPRV C-UPLOAD C-FIELD","30","","","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","19-D14-Sync-Recovery-Reports.dc.html#REP-06","1","5","30"
"SYS-01","مركز الاتصال والمزامنة","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready offline pending_sync synced stale server_error","6","C-SYNC C-TABLE C-NOTICE","36","F07","ACC-01 ACC-04 ACC-05 ACC-06 ACC-47 ACC-48 ACC-71 ACC-88 ACC-96 ACC-136","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","07-D3-Admin-Reports-Sync.dc.html#SYS-01","2","6","36"
"SYS-02","تفاصيل عملية متعثرة","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready empty server_error conflict pending_sync","5","C-TIMELIST C-NOTICE C-STATUS","30","","ACC-05 ACC-29 ACC-33 ACC-59 ACC-77","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","16-D11-System-Reports.dc.html#SYS-02","1","5","30"
"SYS-03","تعارض وحجر ومراجعة مالك","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready conflict permission_denied success","4","C-DOCPRV C-DIALOG C-STATUS","24","F08","ACC-16 ACC-18 ACC-32 ACC-49 ACC-57 ACC-63","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","07-D3-Admin-Reports-Sync.dc.html#SYS-03","2","4","24"
"SYS-04","انخفاض التخزين أو فشل استدامته","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error server_error","3","C-NOTICE C-BTN C-SYNC","18","","ACC-69 ACC-70","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","16-D11-System-Reports.dc.html#SYS-04","1","3","18"
"SYS-05","تصدير نسخة محلية","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready saving validation_error success server_error","5","C-DOCPRV C-NOTICE C-BTN","30","F07","ACC-85 ACC-99","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","16-D11-System-Reports.dc.html#SYS-05","1","5","30"
"SYS-06","استعادة نسخة ومعاينتها","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error conflict partial success server_error","6","C-UPLOAD C-DOCPRV C-DIALOG","36","F07","ACC-73 ACC-74 ACC-81","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","16-D11-System-Reports.dc.html#SYS-06","1","6","36"
"SYS-07","استرداد جهاز مسحوب","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready permission_denied pending_sync conflict success","5","C-DIALOG C-SYNC C-STATUS","30","F08","ACC-64","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","19-D14-Sync-Recovery-Reports.dc.html#SYS-07","1","5","30"
"SYS-08","تغير جيل الخادم والمصالحة","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","conflict stale pending_sync success","4","C-NOTICE C-SYNC C-TIMELIST","24","","ACC-07 ACC-55 ACC-56 ACC-57 ACC-137","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","19-D14-Sync-Recovery-Reports.dc.html#SYS-08","1","4","24"
"SYS-09","تحديث التطبيق مع عمليات معلقة","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready pending_sync validation_error success server_error","5","C-DIALOG C-SYNC C-NOTICE","30","","ACC-72 ACC-93 ACC-100","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","19-D14-Sync-Recovery-Reports.dc.html#SYS-09","1","5","30"
"SYS-10","استيراد بيانات","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready loading validation_error partial success server_error","6","C-UPLOAD C-TABLE C-DOCPRV","36","","ACC-38 ACC-86","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","16-D11-System-Reports.dc.html#SYS-10","1","6","36"
"SYS-11","الدعم والتشخيص","SYS","المزامنة والاستعادة","٨،٩،١٣","مالك، مشغّل الخدمة (دعم مقيد)","W/M/D","390 834 1366 1440 1920","أساسي","ready empty permission_denied success","4","C-DOCPRV C-NOTICE C-BTN","24","","ACC-87","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","19-D14-Sync-Recovery-Reports.dc.html#SYS-11","1","4","24"
"NOT-01","صندوق الوارد والتفاصيل","NOT","الإشعارات والحملات","١١","مسؤول حملات المحل، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty expired permission_denied","5","C-TIMELIST C-STATUS C-NOTICE","30","","ACC-110 ACC-113","17-D12-Notifications-Campaigns.dc.html","owner_approved","","drawn","17-D12-Notifications-Campaigns.dc.html#NOT-01","2","6","30"
"NOT-02","تفضيلات التنبيه","NOT","الإشعارات والحملات","١١","مسؤول حملات المحل، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error offline success","4","C-FIELD C-STATUS C-NOTICE","24","","","17-D12-Notifications-Campaigns.dc.html","owner_approved","","drawn","17-D12-Notifications-Campaigns.dc.html#NOT-02","1","4","24"
"NOT-03","قائمة الحملات","NOT","الإشعارات والحملات","١١","مسؤول حملات المحل، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty permission_denied","4","C-TABLE C-STATUS C-FILTER","24","F14","","17-D12-Notifications-Campaigns.dc.html","owner_approved","","drawn","17-D12-Notifications-Campaigns.dc.html#NOT-03","1","4","24"
"NOT-04","إنشاء حملة واختيار الجمهور","NOT","الإشعارات والحملات","١١","مسؤول حملات المحل، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready empty validation_error permission_denied","4","C-CAMP C-AUD C-FIELD","24","F14","ACC-103","17-D12-Notifications-Campaigns.dc.html","owner_approved","","drawn","07-D3-Admin-Reports-Sync.dc.html#NOT-04","1","4","24"
"NOT-05","معاينة واعتماد وجدولة","NOT","الإشعارات والحملات","١١","مسؤول حملات المحل، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving expired success","5","C-DOCPRV C-CAMP C-DIALOG","30","F14","ACC-109","17-D12-Notifications-Campaigns.dc.html","owner_approved","","drawn","17-D12-Notifications-Campaigns.dc.html#NOT-05","1","5","30"
"NOT-06","نتائج حملة وإلغاؤها","NOT","الإشعارات والحملات","١١","مسؤول حملات المحل، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready empty partial server_error success","5","C-TABLE C-STATUS C-NOTICE","30","F14","ACC-88 ACC-108 ACC-109 ACC-111","17-D12-Notifications-Campaigns.dc.html","owner_approved","","drawn","07-D3-Admin-Reports-Sync.dc.html#NOT-06","1","5","30"
"MP-01","رئيسية السوق","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready loading empty offline stale","5","C-LISTING C-FILTER C-PICK","30","","","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#MP-01","2","2","30"
"MP-02","دليل المخازن والمتاجر","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready loading empty stale","4","C-TABLE C-FILTER C-STATUS","24","F09","","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","29-D22-Marketplace-Link-Complete.dc.html#MP-02","2","2","24"
"MP-03","ملف منشأة منشور","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready loading permission_denied expired","4","C-LISTING C-STATUS C-NOTICE","24","F09","","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#MP-03","1","1","24"
"MP-04","نتائج بحث المنتجات والمقارنة","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready loading empty stale partial","5","C-LISTING C-FILTER C-QTYUNIT","30","F11","ACC-92 ACC-122","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#MP-04","1","1","30"
"MP-05","تفاصيل عرض","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready empty expired permission_denied stale","5","C-LISTING C-QTYUNIT C-STATUS","30","F10 F11","ACC-60 ACC-122 ACC-140 ACC-143","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#MP-05","1","1","30"
"MP-06","متابعة مورد وقائمة المتابعين الخاصة","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready empty permission_denied success","4","C-TABLE C-STATUS C-BTN","24","","ACC-134","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","29-D22-Marketplace-Link-Complete.dc.html#MP-06","3","3","24"
"MP-07","مشاركة رابط ودعوة منشأة","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready expired permission_denied success","4","C-DOCPRV C-DIALOG C-NOTICE","24","F09","ACC-150","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#MP-07","0","1","24"
"MP-08","تهيئة بائع وتحقق الهوية","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready loading validation_error permission_denied success","5","C-FIELD C-UPLOAD C-STATUS","30","F10","ACC-118 ACC-119","08-D4-Marketplace-Orders.dc.html","owner_approved","G-06 تفعيل دور البائع","drawn","08-D4-Marketplace-Orders.dc.html#MP-08","2","2","30"
"MP-09","إدارة صفحة المنشأة","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready validation_error saving permission_denied success","5","C-FIELD C-DOCPRV C-PANEL","30","F10","ACC-120","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","29-D22-Marketplace-Link-Complete.dc.html#MP-09","2","2","30"
"MP-10","قائمة العروض الداخلية للبائع","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready loading empty expired","4","C-TABLE C-STATUS C-FILTER","24","","ACC-120","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","29-D22-Marketplace-Link-Complete.dc.html#MP-10","3","3","24"
"MP-11","إنشاء عرض ونشره","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready validation_error saving permission_denied success","5","C-PICK C-AUD C-DOCPRV","30","F10","ACC-120","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#MP-11","1","1","30"
"MP-12","أسعار شرائح وقوائم خاصة","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready empty validation_error permission_denied","4","C-TABLE C-MONEY C-AUD","24","","ACC-121 ACC-138","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","10-D6-Marketplace-Orders-Completion.dc.html#MP-12","1","1","24"
"MP-13","تجديد تأكيد سعر وتوفر","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready expired saving permission_denied success","5","C-STATUS C-DIALOG C-NOTICE","30","","ACC-123 ACC-144","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","10-D6-Marketplace-Orders-Completion.dc.html#MP-13","1","1","30"
"MP-14","عرض منتهٍ أو منشأة معلقة","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready expired permission_denied","3","C-NOTICE C-STATUS C-BTN","18","","ACC-110 ACC-135 ACC-143","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","29-D22-Marketplace-Link-Complete.dc.html#MP-14","2","2","18"
"MP-15","بلاغ عن عرض أو انتحال","MP","السوق والاكتشاف","١،٥،٦،٩،١٢،١٤","مدير ملف المنشأة، ناشر الكتالوج، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M1","ready validation_error permission_denied success","4","C-FIELD C-UPLOAD C-STATUS","24","","ACC-139","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","29-D22-Marketplace-Link-Complete.dc.html#MP-15","3","3","24"
"ORD-01","سلة ومسودة طلب","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready empty offline validation_error stale","5","C-CART C-QTYUNIT C-SYNC","30","F11","ACC-123 ACC-126","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#ORD-01","2","2","30"
"ORD-02","مراجعة وإرسال طلب أو طلب سعر","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready validation_error saving expired success server_error","6","C-DOCPRV C-MONEY C-NOTICE","36","F11","ACC-126 ACC-140","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","10-D6-Marketplace-Orders-Completion.dc.html#ORD-02","1","1","36"
"ORD-03","طلبات المشتري","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready loading empty stale pending_sync","5","C-TABLE C-STATUS C-FILTER","30","","","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#ORD-03","1","2","30"
"ORD-04","طلبات المورد","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready loading empty expired","4","C-TABLE C-STATUS C-FILTER","24","","","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","27-D20-Org-Orders-Complete.dc.html#ORD-04","3","3","24"
"ORD-05","تفاصيل الطلب وسجل الإصدارات","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready loading partial conflict permission_denied","5","C-ORDTL C-DOCPRV C-STATUS","30","F12","ACC-127 ACC-145","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","10-D6-Marketplace-Orders-Completion.dc.html#ORD-05","1","1","30"
"ORD-06","إعداد عرض سعر من المورد","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready validation_error saving expired success partial","6","C-QUOTE C-MONEY C-QTYUNIT","36","F11","","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#ORD-06","0","1","36"
"ORD-07","مقارنة العرض وقبوله أو رفضه","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready validation_error expired conflict success","5","C-QUOTE C-DIALOG C-NOTICE","30","F11","ACC-125","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#ORD-07","1","1","30"
"ORD-08","تجهيز وتسليم جزئي","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready validation_error partial success","4","C-RECV C-QTYUNIT C-ORDTL","24","F12","ACC-128","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#ORD-08","4","4","24"
"ORD-09","استلام جزئي ورفض كمية","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready validation_error partial conflict success","5","C-RECV C-QTYUNIT C-STATUS","30","F12","ACC-127 ACC-128","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#ORD-09","1","1","30"
"ORD-10","إلغاء المتبقي","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready validation_error partial permission_denied success","5","C-DIALOG C-ORDTL C-NOTICE","30","","ACC-129","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","10-D6-Marketplace-Orders-Completion.dc.html#ORD-10","4","4","30"
"ORD-11","طلب مرتجع تجاري","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready validation_error partial success","4","C-QTYUNIT C-DOCPRV C-STATUS","24","","ACC-141","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","27-D20-Org-Orders-Complete.dc.html#ORD-11","4","4","24"
"ORD-12","خلاف وأدلته وتطور حالته","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready empty partial permission_denied success","5","C-TIMELIST C-UPLOAD C-STATUS","30","F12","ACC-132 ACC-148","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","10-D6-Marketplace-Orders-Completion.dc.html#ORD-12","1","1","30"
"ORD-13","إثبات دفع ومتابعة المطابقة","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready validation_error partial stale success","5","C-UPLOAD C-MONEY C-NOTICE","30","","ACC-14 ACC-15 ACC-133","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","10-D6-Marketplace-Orders-Completion.dc.html#ORD-13","1","1","30"
"ORD-14","تعارض نسخة أو رد مفقود","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","ready conflict server_error success","4","C-NOTICE C-ORDTL C-DIALOG","24","","ACC-124","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#ORD-14","1","1","24"
"ORD-15","استعادة طلب بعد فقد خادمي","ORD","طلبات السوق والتنفيذ","٧،٨،٩،١٧","مسؤول مشتريات، مسؤول مبيعات المورد، مسؤول الاستلام","W/M/D","390 834 1366 1440 1920","M2","conflict stale permission_denied success","4","C-NOTICE C-ORDTL C-STATUS","24","","ACC-137","08-D4-Marketplace-Orders.dc.html","owner_approved","","drawn","10-D6-Marketplace-Orders-Completion.dc.html#ORD-15","1","1","24"
"LINK-01","ربط الطرف المحلي بالمنشأة","LINK","التكامل المالي للسوق","٥،٧،١٥","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M3","ready validation_error permission_denied success phase_locked","5","C-PICK C-DIALOG C-PHASE","30","F13","ACC-131","09-D5-Platform-Integrations.dc.html","owner_approved","G-13 حالة «مرحلة غير مفعّلة»","drawn","29-D22-Marketplace-Link-Complete.dc.html#LINK-01","3","5","30"
"LINK-02","مطابقة أصناف ووحدات الطرفين","LINK","التكامل المالي للسوق","٥،٧،١٥","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M3","ready validation_error conflict success phase_locked","5","C-TABLE C-QTYUNIT C-PHASE","30","F13","ACC-131","09-D5-Platform-Integrations.dc.html","owner_approved","G-13 حالة «مرحلة غير مفعّلة»","drawn","29-D22-Marketplace-Link-Complete.dc.html#LINK-02","3","5","30"
"LINK-03","تحويل استلام أو بيع إلى مستند","LINK","التكامل المالي للسوق","٥،٧،١٥","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M3","ready validation_error conflict success phase_locked","5","C-DOCPRV C-DIALOG C-PHASE","30","F13","ACC-130","09-D5-Platform-Integrations.dc.html","owner_approved","G-13 حالة «مرحلة غير مفعّلة»","drawn","29-D22-Marketplace-Link-Complete.dc.html#LINK-03","3","5","30"
"LINK-04","روابط مستندات وتسوية فرق","LINK","التكامل المالي للسوق","٥،٧،١٥","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M3","ready empty conflict permission_denied phase_locked","5","C-TABLE C-MONEY C-PHASE","30","F13","","09-D5-Platform-Integrations.dc.html","owner_approved","G-13 حالة «مرحلة غير مفعّلة»","drawn","29-D22-Marketplace-Link-Complete.dc.html#LINK-04","4","5","30"
"LINK-05","تحويل المرتجع لمستند عكسي","LINK","التكامل المالي للسوق","٥،٧،١٥","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","M3","ready partial validation_error success phase_locked","5","C-DOCPRV C-QTYUNIT C-PHASE","30","","","09-D5-Platform-Integrations.dc.html","owner_approved","G-13 حالة «مرحلة غير مفعّلة»","drawn","29-D22-Marketplace-Link-Complete.dc.html#LINK-05","4","5","30"
"GROW-01","اقتراح إعادة التوريد","GROW","تحسينات السوق اللاحقة","١٤،١٥،١٦","مالك، مسؤول مبيعات المورد","W/M/D","390 834 1366 1440 1920","M4","ready empty permission_denied phase_locked","4","C-TABLE C-BTN C-PHASE","24","","","10-D6-Marketplace-Orders-Completion.dc.html","owner_approved","G-13 حالة «مرحلة غير مفعّلة»","drawn","32-D24-Purchasing-Growth.dc.html#GROW-01","0","6","24"
"GROW-02","تحليلات المورد","GROW","تحسينات السوق اللاحقة","١٤،١٥،١٦","مالك، مسؤول مبيعات المورد","W/M/D","390 834 1366 1440 1920","M4","ready loading empty stale phase_locked","5","C-TABLE C-FILTER C-PHASE","30","","ACC-142","10-D6-Marketplace-Orders-Completion.dc.html","owner_approved","","drawn","32-D24-Purchasing-Growth.dc.html#GROW-02","0","7","30"
"GROW-03","طلب عرض ممول ومعاينته","GROW","تحسينات السوق اللاحقة","١٤،١٥،١٦","مالك، مسؤول مبيعات المورد","W/M/D","390 834 1366 1440 1920","M4","ready validation_error permission_denied phase_locked","4","C-DOCPRV C-AUD C-PHASE","24","","","10-D6-Marketplace-Orders-Completion.dc.html","owner_approved","G-04 تسعير العرض الممول","drawn","21-D16-Subscription-Customer-Public.dc.html#GROW-03","1","4","24"
"CUS-01","صفحة محل عبر رابط أو QR","CUS","بوابة زبون المحل","١١،١٤","زبون المحل","C","390 1440","أساسي","ready loading empty expired","4","C-FRAME C-TIMELIST C-NOTICE","8","F15","ACC-95","21-D16-Subscription-Customer-Public.dc.html","owner_approved","","drawn","21-D16-Subscription-Customer-Public.dc.html#CUS-01","1","4","8"
"CUS-02","اشتراك وإذن تنبيه","CUS","بوابة زبون المحل","١١،١٤","زبون المحل","C","390 1440","أساسي","ready validation_error permission_denied success","4","C-BTN C-NOTICE C-FIELD","8","F15","ACC-106","21-D16-Subscription-Customer-Public.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#CUS-02","2","4","8"
